School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
02850015:Public School:Stoughton:K,01,02,03,04,05:02850000:Level 1:Level 2:0:46:42:39:48:47:0:0:0:0:0:0:0:0:255:9.0:4.7:9.0:35.3:25.5:19.6:10.6:6.3:55.3:0.4:2.0:5.9:49.4:23.0:76466.0:12885.55:13517.4
02850505:Public School:Stoughton:09,10,11,12:02850000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:299:282:254:224:2:1061:15.1:2.4:12.3:32.5:22.0:22.2:5.5:5.9:64.5:0.0:0.1:1.8:51.8:16.5:76466.0:12885.55:13517.4
02850020:Public School:Stoughton:PK,K,01,02,03,04,05:02850000:Level 2:Level 2:26:51:52:55:60:69:0:0:0:0:0:0:0:0:363:24.2:16.0:11.3:55.9:41.9:21.8:4.1:16.8:49.3:0.6:0.3:7.2:50.4:18.1:76466.0:12885.55:13517.4
02870005:Public School:Sturbridge:PK,K,01,02,03,04,05,06:02870000:Level 1:Level 1:72:107:107:141:123:128:126:0:0:0:0:0:0:0:917:1.1:0.3:10.9:22.8:14.9:0.5:1.4:4.6:89.2:0.3:0.0:3.9:56.1:23.1:72921.0:11392.33:12561.69
04890505:Charter School:Hyannis:09,10,11,12:04890000:Level 1:Level 1:0:0:0:0:0:0:0:0:0:217:214:191:182:0:804:2.2:0.0:11.2:22.8:13.6:1.7:2.6:4.4:85.2:0.6:0.1:5.3:40.9:14.1:::
02880305:Public School:Sudbury:06,07,08:02880000:Level 2:Level 2:0:0:0:0:0:0:305:333:339:0:0:0:0:0:977:2.5:0.6:17.2:21.3:4.9:2.3:6.6:3.1:84.1:0.0:0.1:3.9:51.5:22.4:76991.0:14167.75:14709.79
02880025:Public School:Sudbury:K,01,02,03,04,05:02880000:Level 1:Level 2:0:61:55:71:57:71:0:0:0:0:0:0:0:0:357:2.8:1.7:10.9:15.1:5.3:5.3:9.0:2.2:75.1:0.0:0.3:8.1:49.6:20.4:76991.0:14167.75:14709.79
02880015:Public School:Sudbury:K,01,02,03,04,05:02880000:Level 2:Level 2:0:84:66:90:82:89:0:0:0:0:0:0:0:0:487:2.1:0.8:13.6:19.3:6.8:2.1:11.9:3.9:74.7:0.8:1.0:5.5:53.2:21.3:76991.0:14167.75:14709.79
02880010:Public School:Sudbury:K,01,02,03,04,05:02880000:Level 1:Level 2:0:59:72:54:87:70:0:0:0:0:0:0:0:0:387:4.7:1.3:14.5:19.4:4.1:3.1:8.8:1.6:79.8:0.0:0.0:6.7:55.6:19.3:76991.0:14167.75:14709.79
02880030:Public School:Sudbury:PK,K,01,02,03,04,05:02880000:Level 2:Level 2:68:83:86:81:104:91:0:0:0:0:0:0:0:0:595:4.4:1.7:12.3:17.3:4.0:2.9:10.1:4.0:75.1:0.0:0.0:7.9:51.9:20.9:76991.0:14167.75:14709.79
02890005:Public School:Sunderland:PK,K,01,02,03,04,05,06:02890000:Level 2:Level 2:25:36:22:39:25:31:40:0:0:0:0:0:0:0:257:13.6:6.2:17.5:47.5:30.0:5.8:8.2:10.1:65.0:0.0:0.0:10.9:59.1:15.5:75424.0:14250.0:13264.64
02900003:Public School:Sutton:PK,K,01,02:02900000:Insufficient data:Level 2:30:94:108:0:0:0:0:0:0:0:0:0:0:0:316:1.9:1.6:17.7:25.6:9.2:0.9:1.3:1.3:92.1:0.0:0.0:4.4:49.4:23.7:72210.0:12034.34:12410.66
02900005:Public School:Sutton:03,04,05:02900000:Level 2:Level 2:0:0:0:99:119:113:0:0:0:0:0:0:0:0:331:2.7:1.8:21.1:28.4:10.3:0.9:2.1:2.1:89.1:0.0:0.3:5.4:48.6:24.3:72210.0:12034.34:12410.66
02900510:Public School:Sutton:09,10,11,12:02900000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:103:108:115:100:0:426:0.5:0.0:10.8:15.3:7.0:0.2:0.9:1.6:92.5:0.2:0.0:4.5:49.1:16.9:72210.0:12034.34:12410.66
02900305:Public School:Sutton:06,07,08:02900000:Level 2:Level 2:0:0:0:0:0:0:132:126:117:0:0:0:0:0:375:2.4:0.8:18.7:25.1:6.9:1.1:1.9:1.6:91.2:0.0:0.0:4.3:53.1:23.5:72210.0:12034.34:12410.66
02910005:Public School:Swampscott:K,01,02,03,04:02910000:Level 1:Level 2:0:39:41:45:43:0:0:0:0:0:0:0:0:0:206:13.6:12.6:17.0:35.9:17.5:1.5:3.4:9.2:83.5:1.0:0.0:1.5:50.0:17.7:75877.0:14213.39:15095.06
02910010:Public School:Swampscott:K,01,02,03,04:02910000:Level 1:Level 2:0:60:57:63:62:0:0:0:0:0:0:0:0:0:297:16.8:10.1:10.8:36.0:21.5:3.4:3.4:9.4:80.1:0.0:0.0:3.7:53.5:17.7:75877.0:14213.39:15095.06
02910020:Public School:Swampscott:K,01,02,03,04:02910000:Level 1:Level 2:0:55:53:61:56:0:0:0:0:0:0:0:0:0:278:8.6:4.7:9.4:18.3:5.8:0.7:1.4:7.9:86.3:0.4:0.0:3.2:50.7:19.0:75877.0:14213.39:15095.06
02910505:Public School:Swampscott:09,10,11,12:02910000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:153:174:162:186:2:677:6.9:1.0:12.3:23.5:13.1:4.6:2.1:9.7:81.5:0.0:0.4:1.6:49.2:15.4:75877.0:14213.39:15095.06
02910305:Public School:Swampscott:PK,05,06,07,08:02910000:Level 2:Level 2:58:0:0:0:0:152:161:205:197:0:0:0:0:0:773:9.8:1.8:16.0:29.5:14.2:3.9:2.7:11.4:79.8:0.3:0.0:1.9:50.8:17.2:75877.0:14213.39:15095.06
02920006:Public School:Swansea:03,04,05:02920000:Level 1:Level 2:0:0:0:95:95:109:0:0:0:0:0:0:0:0:299:0.7:0.3:11.4:27.8:19.7:0.3:1.3:0.7:97.7:0.0:0.0:0.0:51.2:18.7:62775.0:12650.1:12862.4
02920015:Public School:Swansea:K,01,02:02920000:Insufficient data:Level 2:0:74:77:0:0:0:0:0:0:0:0:0:0:0:243:0.0:0.0:3.7:25.5:23.5:0.4:0.4:0.8:97.5:0.4:0.0:0.4:54.3:20.5:62775.0:12650.1:12862.4
02920505:Public School:Swansea:09,10,11,12:02920000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:144:128:123:133:0:528:1.5:0.4:10.0:28.0:21.6:1.7:1.3:1.7:93.9:0.2:0.0:1.1:52.7:14.2:62775.0:12650.1:12862.4
02920305:Public School:Swansea:06,07,08:02920000:Level 2:Level 2:0:0:0:0:0:0:156:173:168:0:0:0:0:0:497:1.6:1.2:11.3:26.8:19.7:0.6:0.6:1.4:95.8:0.0:0.0:1.6:52.3:17.6:62775.0:12650.1:12862.4
02920020:Public School:Swansea:03,04,05:02920000:Level 2:Level 2:0:0:0:65:82:73:0:0:0:0:0:0:0:0:220:1.8:0.0:13.6:29.1:21.4:0.9:0.5:3.6:92.7:0.5:0.0:1.8:52.3:14.8:62775.0:12650.1:12862.4
02920017:Public School:Swansea:PK,K,01,02:02920000:Insufficient data:Level 2:64:52:75:0:0:0:0:0:0:0:0:0:0:0:263:1.5:0.8:16.3:31.6:17.5:0.0:1.5:1.5:91.3:0.4:0.0:5.3:54.0:17.2:62775.0:12650.1:12862.4
07700405:Public School:Fiskdale:07,08:07700000:Level 2:Level 2:0:0:0:0:0:0:0:293:289:0:0:0:0:0:582:1.7:0.0:11.9:28.2:19.4:0.7:1.2:4.5:90.9:0.0:0.0:2.7:47.1:17.0:73069.0:13279.14:13036.45
07700505:Public School:Fiskdale:09,10,11,12:07700000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:194:169:182:209:6:760:0.9:0.1:5.9:17.1:12.9:0.5:1.4:4.1:91.2:0.1:0.0:2.6:43.6:13.7:73069.0:13279.14:13036.45
07700605:Public School:Fiskdale:09,10,11,12:07700000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:119:132:119:127:0:497:0.4:0.0:18.7:36.6:23.3:0.2:0.4:5.0:91.5:0.6:0.0:2.2:61.4:10.0:73069.0:13279.14:13036.45
02930315:Public School:Taunton:05,06,07:02930000:Level 2:Level 3:0:0:0:0:0:269:249:286:0:0:0:0:0:0:804:5.5:1.6:18.0:45.8:36.1:8.5:1.0:10.8:74.6:0.5:0.2:4.4:50.4:21.5:73662.0:11409.87:12260.38
02930010:Public School:East Taunton:K,01,02,03,04:02930000:Level 1:Level 3:0:126:128:112:120:0:0:0:0:0:0:0:0:0:607:6.9:3.0:20.8:48.9:35.6:11.7:0.5:8.2:75.5:0.5:0.0:3.6:49.6:19.4:73662.0:11409.87:12260.38
02930007:Public School:Taunton:K,01,02,03,04:02930000:Level 1:Level 3:0:57:62:82:66:0:0:0:0:0:0:0:0:0:333:9.0:5.4:10.5:41.4:33.0:8.7:0.9:9.0:78.7:0.3:0.0:2.4:53.2:22.9:73662.0:11409.87:12260.38
02930005:Public School:Taunton:PK:02930000:Insufficient data:Level 3:329:0:0:0:0:0:0:0:0:0:0:0:0:0:329:6.4:2.1:42.2:62.6:44.1:11.9:2.4:11.9:70.2:0.0:0.3:3.3:57.1:18.5:73662.0:11409.87:12260.38
02930027:Public School:Taunton:K,01,02,03,04:02930000:Level 3:Level 3:0:128:116:137:122:0:0:0:0:0:0:0:0:0:610:13.0:8.5:14.6:66.4:58.9:17.7:1.6:14.9:57.4:0.0:0.3:8.0:50.2:20.5:73662.0:11409.87:12260.38
02930057:Public School:Taunton:K,01,02,03,04:02930000:Level 2:Level 3:0:48:43:48:60:0:0:0:0:0:0:0:0:0:246:19.5:16.3:17.1:76.4:63.0:22.0:0.8:17.1:54.1:0.4:1.2:4.5:50.8:23.3:73662.0:11409.87:12260.38
02930035:Public School:Taunton:K,01,02,03,04:02930000:Level 2:Level 3:0:55:59:59:60:0:0:0:0:0:0:0:0:0:292:5.5:2.4:16.8:62.7:56.2:13.4:0.3:9.6:68.5:0.3:0.0:7.9:47.9:20.1:73662.0:11409.87:12260.38
02930305:Public School:Taunton:05,06,07:02930000:Level 2:Level 3:0:0:0:0:0:169:136:148:0:0:0:0:0:0:453:14.6:5.7:17.4:64.7:56.5:19.2:2.0:15.2:55.4:0.4:0.2:7.5:48.3:23.2:73662.0:11409.87:12260.38
02930008:Public School:Taunton:K,01,02,03,04:02930000:Level 2:Level 3:0:113:94:121:118:0:0:0:0:0:0:0:0:0:529:5.5:2.8:18.3:42.0:30.8:7.2:1.5:4.3:82.0:0.2:0.0:4.7:52.7:22.4:73662.0:11409.87:12260.38
02930042:Public School:East Taunton:05,06,07:02930000:Level 2:Level 3:0:0:0:0:0:221:233:268:0:0:0:0:0:0:722:7.9:1.5:17.6:49.3:39.9:14.0:1.7:10.5:69.7:0.3:0.0:3.9:52.5:23.9:73662.0:11409.87:12260.38
02930015:Public School:Taunton:K,01,02,03,04:02930000:Level 1:Level 3:0:89:103:92:104:0:0:0:0:0:0:0:0:0:489:13.3:9.4:19.0:64.4:53.8:18.0:0.6:15.1:60.9:0.0:0.2:5.1:53.2:22.7:73662.0:11409.87:12260.38
02930525:Public School:Taunton:08,09,10,11,12:02930000:Insufficient data:Level 3:0:0:0:0:0:0:0:0:0:3:16:14:56:0:89:4.5:1.1:33.7:70.8:60.7:15.7:0.0:14.6:64.0:0.0:0.0:5.6:62.9:9.9:73662.0:11409.87:12260.38
02930505:Public School:Taunton:08,09,10,11,12:02930000:Level 3:Level 3:0:0:0:0:0:0:0:0:644:502:483:431:426:16:2502:9.9:2.6:14.6:44.5:37.1:14.5:1.8:11.8:67.9:0.1:0.3:3.6:50.1:19.8:73662.0:11409.87:12260.38
02950010:Public School:Tewksbury:K,01,02:02950000:Insufficient data:Level 2:0:106:106:0:0:0:0:0:0:0:0:0:0:0:338:3.3:2.1:7.4:21.9:14.5:1.8:2.4:3.0:90.8:0.0:0.0:2.1:49.7:21.7:73944.0:13517.2:14719.71
02950023:Public School:Tewksbury:05,06:02950000:Level 2:Level 2:0:0:0:0:0:261:275:0:0:0:0:0:0:0:536:2.2:1.1:20.1:31.2:14.0:2.4:3.0:1.7:91.6:0.4:0.2:0.7:53.9:21.4:73944.0:13517.2:14719.71
02950305:Public School:Tewksbury:07,08:02950000:Level 2:Level 2:0:0:0:0:0:0:0:312:305:0:0:0:0:0:617:2.6:1.1:19.3:29.7:13.1:2.8:3.2:2.3:90.4:0.0:0.0:1.3:45.2:21.1:73944.0:13517.2:14719.71
02950001:Public School:Tewksbury:PK,K,01,02:02950000:Insufficient data:Level 2:138:131:146:0:0:0:0:0:0:0:0:0:0:0:564:3.9:3.0:16.3:31.7:17.4:4.1:3.4:5.3:86.7:0.0:0.2:0.4:52.8:19.2:73944.0:13517.2:14719.71
02950025:Public School:Tewksbury:03,04:02950000:Level 2:Level 2:0:0:0:133:122:0:0:0:0:0:0:0:0:0:255:5.1:1.2:16.1:29.0:14.5:0.8:3.5:2.0:92.5:0.0:0.0:1.2:45.9:19.3:73944.0:13517.2:14719.71
02950020:Public School:Tewksbury:03,04:02950000:Level 1:Level 2:0:0:0:127:130:0:0:0:0:0:0:0:0:0:257:3.1:1.9:21.8:30.0:15.2:5.8:3.1:1.9:87.5:0.0:0.0:1.6:57.6:21.1:73944.0:13517.2:14719.71
02950505:Public School:Tewksbury:09,10,11,12:02950000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:243:235:245:251:6:980:1.4:0.7:14.4:22.9:12.3:1.5:2.6:2.9:92.6:0.0:0.2:0.3:52.8:20.1:73944.0:13517.2:14719.71
02960005:Public School:Vineyard Haven:PK,K,01,02,03,04,05,06,07,08:02960000:Level 1:Level 1:5:33:31:41:43:36:29:39:36:0:0:0:0:0:321:33.3:24.9:14.0:51.7:30.5:3.1:0.9:26.2:59.8:2.2:0.0:7.8:53.3:13.1:81262.0:21295.26:19907.54
02980005:Public School:Topsfield:04,05,06:02980000:Level 2:Level 2:0:0:0:0:76:79:89:0:0:0:0:0:0:0:244:1.6:0.0:21.3:26.2:7.8:0.8:1.6:2.9:92.2:0.0:0.0:2.5:47.5:16.3:84050.0:15573.41:15759.66
02980010:Public School:Topsfield:PK,K,01,02,03:02980000:Level 1:Level 2:43:80:85:98:0:0:0:0:0:0:0:0:0:0:382:0.8:0.0:15.4:19.6:6.5:0.3:1.6:1.8:93.2:0.8:0.0:2.4:50.8:14.5:84050.0:15573.41:15759.66
08780605:Public School:Franklin:09,10,11,12:08780000:Level 1:Level 1:0:0:0:0:0:0:0:0:0:284:277:225:237:0:1023:0.5:0.4:29.5:42.8:20.8:0.4:0.7:4.6:89.2:0.4:0.2:4.5:55.0:16.8:79134.0:17805.51:17805.51
07730020:Public School:Newbury:PK,K,01,02,03,04,05,06:07730000:Level 1:Level 2:23:56:55:61:53:74:76:0:0:0:0:0:0:0:440:0.7:0.0:16.1:23.4:10.7:0.7:1.6:1.6:94.8:0.0:0.5:0.9:55.2:19.8:75098.0:14409.75:14986.68
07730025:Public School:Rowley:PK,K,01,02,03,04,05,06:07730000:Level 2:Level 2:21:51:68:59:70:54:89:0:0:0:0:0:0:0:471:1.5:0.8:13.0:25.1:14.4:0.4:0.6:1.1:94.9:0.2:0.0:2.8:50.7:19.7:75098.0:14409.75:14986.68
07730015:Public School:Salisbury:PK,K,01,02,03,04,05,06:07730000:Level 2:Level 2:33:57:62:79:75:62:56:0:0:0:0:0:0:0:494:4.5:1.4:13.8:45.1:35.4:2.6:3.6:4.3:85.6:0.0:0.6:3.2:50.2:19.4:75098.0:14409.75:14986.68
07730505:Public School:Byfield:09,10,11,12:07730000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:189:181:184:162:0:716:3.4:0.4:12.7:24.4:14.2:0.8:1.7:2.2:94.7:0.0:0.0:0.6:47.9:14.0:75098.0:14409.75:14986.68
07730405:Public School:Byfield:07,08:07730000:Level 2:Level 2:0:0:0:0:0:0:0:193:201:0:0:0:0:0:394:2.0:0.0:15.7:29.4:17.8:1.0:2.0:2.8:91.6:0.5:0.3:1.8:50.8:21.5:75098.0:14409.75:14986.68
03000005:Public School:Truro:PK,K,01,02,03,04,05,06:03000000:Level 2:Level 2:21:14:11:14:17:18:9:0:0:0:0:0:0:0:116:0.0:0.0:14.7:34.5:24.1:6.0:0.0:12.1:70.7:0.0:0.0:11.2:44.8:14.4:72678.0:32174.94:25939.4
03010020:Public School:Tyngsborough:PK,K,01,02,03,04,05:03010000:Level 2:Level 2:67:127:103:138:115:116:0:0:0:0:0:0:0:0:787:5.5:2.2:15.2:28.6:16.1:4.1:6.7:5.1:81.1:0.1:0.0:2.9:53.6:19.7:71705.0:12878.87:13184.83
03010505:Public School:Tyngsborough:09,10,11,12:03010000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:129:122:128:128:0:507:2.6:0.8:8.9:17.6:9.1:2.2:6.1:3.6:85.2:0.0:0.0:3.0:49.3:15.6:71705.0:12878.87:13184.83
03010305:Public School:Tyngsborough:06,07,08:03010000:Level 2:Level 2:0:0:0:0:0:0:135:148:136:0:0:0:0:0:419:4.1:1.7:16.0:29.1:16.0:1.7:5.0:3.6:86.2:0.2:0.0:3.3:48.7:19.1:71705.0:12878.87:13184.83
04800405:Charter School:South Boston:06,07,08:04800000:Level 1:Level 1:0:0:0:0:0:0:183:168:121:0:0:0:0:0:472:47.0:17.4:19.3:79.0:65.9:46.8:5.7:39.4:5.5:0.2:0.4:1.9:55.7:22.3:::
07740010:Public School:Chilmark:K,01,02,03,04,05:07740000:Level 1:Level 2:0:4:7:8:7:10:0:0:0:0:0:0:0:0:44:0.0:0.0:13.6:27.3:18.2:0.0:2.3:2.3:86.4:0.0:0.0:9.1:56.8:9.3:83477.0:27661.62:26900.28
07740020:Public School:West Tisbury:PK,K,01,02,03,04,05,06,07,08:07740000:Level 2:Level 2:9:39:38:40:34:35:57:46:20:0:0:0:0:0:349:8.0:6.0:21.5:41.5:21.2:2.9:0.9:6.0:81.1:4.0:0.0:5.2:55.0:16.1:83477.0:27661.62:26900.28
08790605:Public School:Bourne:09,10,11,12:08790000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:192:175:176:166:0:709:0.0:0.0:17.5:38.4:25.8:4.4:1.7:1.4:87.6:0.6:0.0:4.4:61.8:15.2:68731.0:21405.21:21312.85
03040515:Public School:Uxbridge:09,10,11,12:03040000::Level 2:0:0:0:0:0:0:0:0:0:0:5:10:31:0:46:0.0:0.0:0.0:32.6:32.6:0.0:2.2:17.4:73.9:2.2:2.2:2.2:41.3::70226.0:12732.51:12755.44
03040015:Public School:Uxbridge:06,07,08:03040000:Level 2:Level 2:0:0:0:0:0:0:127:131:161:0:0:0:0:0:419:1.9:1.0:13.1:26.5:17.2:1.2:1.9:4.8:90.0:0.0:0.0:2.1:52.7:21.9:70226.0:12732.51:12755.44
03040005:Public School:Uxbridge:PK,K,01,02:03040000:Insufficient data:Level 2:88:127:138:0:0:0:0:0:0:0:0:0:0:0:477:1.7:1.5:17.8:35.8:22.2:1.0:0.8:2.7:93.1:0.0:0.0:2.3:55.3:20.0:70226.0:12732.51:12755.44
03040505:Public School:Uxbridge:09,10,11,12:03040000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:115:124:120:119:4:482:3.5:1.0:14.9:27.0:17.2:1.5:1.5:2.7:91.9:0.6:0.2:1.7:53.5:16.9:70226.0:12732.51:12755.44
03040020:Public School:Uxbridge:03,04,05:03040000:Level 2:Level 2:0:0:0:126:141:144:0:0:0:0:0:0:0:0:411:3.4:1.5:12.4:31.4:21.2:0.7:1.7:3.6:91.2:1.0:0.0:1.7:52.8:22.9:70226.0:12732.51:12755.44
04980405:Charter School:Springfield:05,06,07,08:04980000:Insufficient data:Insufficient data:0:0:0:0:0:88:89:79:57:0:0:0:0:0:313:24.3:11.8:16.3:75.1:66.8:19.5:1.3:70.9:6.7:0.0:0.0:1.6:52.1:26.2:::
07750310:Public School:Rutland:06,07,08:07750000:Level 2:Level 2:0:0:0:0:0:0:137:120:145:0:0:0:0:0:402:2.0:1.0:16.9:24.9:10.2:1.2:2.2:3.2:89.3:0.0:0.0:4.0:55.2:17.2:68835.0:10896.5:11537.24
07750315:Public School:Sterling:05,06,07,08:07750000:Level 1:Level 2:0:0:0:0:0:98:96:92:91:0:0:0:0:0:377:1.9:0.5:11.1:18.6:8.5:1.3:1.6:3.7:92.3:0.0:0.0:1.1:52.0:18.6:68835.0:10896.5:11537.24
07750018:Public School:Holden:K,01,02,03,04,05:07750000:Level 2:Level 2:0:75:70:62:88:97:0:0:0:0:0:0:0:0:456:3.7:1.8:10.7:22.1:11.4:2.9:1.8:5.3:87.7:0.0:0.0:2.4:51.5:20.7:68835.0:10896.5:11537.24
07750020:Public School:Holden:K,01,02,03,04,05:07750000:Level 1:Level 2:0:82:82:88:95:91:0:0:0:0:0:0:0:0:507:9.9:6.3:11.6:27.0:10.1:3.0:4.3:4.5:85.2:0.0:0.0:3.0:52.5:18.3:68835.0:10896.5:11537.24
07750001:Public School:Jefferson:PK:07750000:Insufficient data:Level 2:150:0:0:0:0:0:0:0:0:0:0:0:0:0:150:5.3:0.0:47.3:58.0:21.3:1.3:4.7:6.7:84.0:0.7:0.7:2.0:55.3:19.5:68835.0:10896.5:11537.24
07750060:Public School:Rutland:03,04,05:07750000:Level 2:Level 2:0:0:0:111:131:118:0:0:0:0:0:0:0:0:360:3.3:2.5:16.4:28.6:13.6:1.4:3.1:5.6:86.4:0.0:0.0:3.6:48.3:22.6:68835.0:10896.5:11537.24
07750027:Public School:Sterling:K,01,02,03,04:07750000:Level 1:Level 2:0:86:70:99:81:0:0:0:0:0:0:0:0:0:392:1.8:0.5:13.8:21.7:10.7:1.3:2.6:5.9:87.8:0.0:0.0:2.6:52.0:17.1:68835.0:10896.5:11537.24
07750032:Public School:Holden:K,01,02,03,04,05:07750000:Level 2:Level 2:0:76:83:85:85:92:0:0:0:0:0:0:0:0:492:6.1:4.1:12.2:24.6:10.4:2.0:5.7:4.9:86.2:0.0:0.0:1.2:53.3:19.4:68835.0:10896.5:11537.24
07750305:Public School:Holden:06,07,08:07750000:Level 1:Level 2:0:0:0:0:0:0:253:267:289:0:0:0:0:0:809:5.9:1.2:11.4:20.4:9.4:2.3:4.2:4.7:85.9:0.2:0.0:2.6:50.6:21.0:68835.0:10896.5:11537.24
07750005:Public School:Rutland:K,01,02:07750000:Insufficient data:Level 2:0:132:96:0:0:0:0:0:0:0:0:0:0:0:323:4.0:3.4:10.8:24.5:13.9:1.9:0.6:4.3:89.8:0.9:0.3:2.2:47.7:17.9:68835.0:10896.5:11537.24
07750040:Public School:Paxton:K,01,02,03,04,05,06,07,08:07750000:Level 2:Level 2:0:36:54:51:62:62:64:62:64:0:0:0:0:0:495:4.8:3.2:14.7:28.1:12.7:2.0:2.2:8.7:86.3:0.0:0.0:0.8:53.7:18.5:68835.0:10896.5:11537.24
07750045:Public School:Princeton:K,01,02,03,04,05,06,07,08:07750000:Level 1:Level 2:0:35:48:41:40:49:47:44:50:0:0:0:0:0:395:0.8:0.0:14.2:17.5:5.6:0.5:1.3:3.8:92.7:0.0:0.0:1.8:47.8:17.7:68835.0:10896.5:11537.24
07750505:Public School:Holden:09,10,11,12:07750000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:528:589:502:507:14:2140:3.2:0.6:12.5:19.2:8.6:1.9:3.2:4.1:88.9:0.0:0.2:1.7:47.3:17.6:68835.0:10896.5:11537.24
03050005:Public School:Wakefield:K,01,02,03,04:03050000:Level 1:Level 2:0:93:85:79:83:0:0:0:0:0:0:0:0:0:442:2.0:1.6:12.0:22.9:11.1:0.7:2.5:7.0:86.0:0.2:0.0:3.6:49.3:19.8:68907.0:12852.83:13598.22
03050001:Public School:Wakefield:PK:03050000:Insufficient data:Level 2:129:0:0:0:0:0:0:0:0:0:0:0:0:0:129:12.4:0.0:22.5:27.9:8.5:1.6:3.9:3.1:87.6:0.0:1.6:2.3:51.2:10.4:68907.0:12852.83:13598.22
03050310:Public School:Wakefield:05,06,07,08:03050000:Level 2:Level 2:0:0:0:0:0:244:257:290:294:0:0:0:0:0:1085:2.6:0.8:18.4:28.5:13.4:3.2:2.8:5.6:86.3:0.1:0.1:1.9:51.4:21.8:68907.0:12852.83:13598.22
03050020:Public School:Wakefield:K,01,02,03,04:03050000:Level 2:Level 2:0:43:49:46:41:0:0:0:0:0:0:0:0:0:223:2.7:1.8:13.5:22.4:8.5:1.8:5.4:5.4:82.5:0.0:0.0:4.9:48.9:21.8:68907.0:12852.83:13598.22
03050505:Public School:Wakefield:09,10,11,12:03050000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:272:228:271:237:8:1016:3.1:1.2:14.1:23.5:12.7:3.1:3.1:2.9:88.6:0.2:0.3:2.0:47.9:14.6:68907.0:12852.83:13598.22
03050040:Public School:Wakefield:01,02,03,04:03050000:Level 1:Level 2:0:46:48:66:41:0:0:0:0:0:0:0:0:0:201:2.0:1.5:8.5:15.4:7.0:2.5:2.5:3.5:88.1:0.0:0.0:3.5:53.2:21.7:68907.0:12852.83:13598.22
03050015:Public School:Wakefield:K,01,02,03,04:03050000:Level 1:Level 2:0:81:79:70:93:0:0:0:0:0:0:0:0:0:442:8.4:5.9:14.9:33.7:18.1:1.8:4.1:10.6:79.0:0.2:0.0:4.3:52.9:21.1:68907.0:12852.83:13598.22
03060005:Public School:Wales:PK,K,01,02,03,04,05,06:03060000:Level 1:Level 1:21:22:18:24:19:21:20:0:0:0:0:0:0:0:164:0.0:0.0:11.0:34.8:28.7:0.6:0.6:3.7:90.2:1.2:0.0:3.7:51.2:20.2:64373.0:11961.35:12701.63
03070305:Public School:East Walpole:06,07,08:03070000:Level 2:Level 2:0:0:0:0:0:0:162:156:162:0:0:0:0:0:480:7.5:3.1:17.5:26.5:11.0:3.3:2.3:5.8:86.0:0.8:0.0:1.7:50.0:19.5:74124.0:13347.16:14077.67
03070010:Public School:Walpole:K,01,02,03,04,05:03070000:Level 2:Level 2:0:55:51:58:68:86:0:0:0:0:0:0:0:0:378:9.8:4.0:11.1:24.3:13.2:6.9:5.0:6.3:79.4:0.8:0.0:1.6:48.1:18.1:74124.0:13347.16:14077.67
03070002:Public School:Walpole:PK:03070000:Insufficient data:Level 2:82:0:0:0:0:0:0:0:0:0:0:0:0:0:82:19.5:7.3:43.9:54.9:17.1:6.1:14.6:8.5:67.1:0.0:0.0:3.7:54.9:12.0:74124.0:13347.16:14077.67
03070310:Public School:Walpole:06,07,08:03070000:Level 2:Level 2:0:0:0:0:0:0:146:157:143:0:0:0:0:0:446:10.1:2.2:12.1:22.6:11.2:3.1:10.3:3.6:80.7:0.0:0.0:2.2:52.5:20.8:74124.0:13347.16:14077.67
03070005:Public School:Walpole:K,01,02,03,04,05:03070000:Level 2:Level 2:0:68:63:64:84:77:0:0:0:0:0:0:0:0:428:10.5:1.9:12.1:23.1:9.8:2.1:8.4:5.1:81.8:0.2:0.0:2.3:55.4:20.3:74124.0:13347.16:14077.67
